diagnosis,count
"lipödem stammbetont, sowie ober- und unterschenkel bds.",1
subjektive hypersalivation,1
lumboischialgie bei mehrsegmental degenerativen veränderungen,1
lumboischialgie derlws bei arthrotischen veränderungen,1
zervikobrachialsyndrom rechts,1
"3-gefäß-khk, z.n. minimal-invasiver cabg op 05/10",1
schulter-arm-syndrom links,1
reizdarsynrom,1
linksschenkelblock-ekg (anamnestisch seit ca. 20 jahren bekannt),1
obstruktives schlafapnoesyndrom (cpap-therapie),1
chronische linkseitige gesichts- und kopfschmerzen,1
bei koronarer dreigefäßerkrankung,1
lumboischialgie der lws bei arthrotischen veränderungen,1
rhizarthrose re,1
"1-gefäß-khk mit hochgr. stenose rcx, ptca und stent 3/2015",1
multifaktorielle gangunsicherheit,1
bilaterale vestibulopathie,1
sensible polyneuropathie,1
vorhofflimmern mit teilweiser tachykarder überleitung (ed 03/2012),1
chronische niereninsuffizienz,1
multiple herzoperationen,1
postoperative hypothyreose bei z.n. papilären schilddrüsencarzinom 2013,1
trockener makuladegeneration,1
pseudoradikuläres schmerzsyndrom mit musculus piriformis syndrom,1
prolaps l5/s1,1
morbus hailey-hailey (pemphigus chronicus benignus familiaris),1
allergische kontaktdermatitis bei nickelallergie,1
chronisches hws-syndrom bei degenerativen veränderungen der hws,1
demyelinisierend betonte sesomotorische polyneuropathie,1
erschöpfung und wetterfühligkeit mit emotionaler instabilität,1
chronisch rezidivierende dyspepsie,1
gastroösophageale refluxerkrankung,1
hws-syndrom linksseitig,1
pseudoradikuliäres lumbales schmerzsyndrom links,1
bewegungsabhängige schmerzen im schulter-/gürtelbereich links,1
belastungsabhängige schmerzen beider füße,1
atopisches [endogenes] ekzem,1
sensomotorische demyelinisierende polyneuropahtie,1
ellenbogengelenkschmerzen bds.,1
spreizfuß bds.,1
unklare atembeschwerden,1
v.a. reizdarm-syndrom,1
"colitis ulcerosa, ed 2014",1
- nach i.v.-antibiose mit ceftriaxon 2 g/tag für 14 tage,1
schlaflosigkeit,1
"khk, z.n. mic 2003",1
überaktive blase,1
"polyneuropathie, ed 2013",1
"chronisches vorhofflimmern, ed 05/16 – antikoagulatio mit eliquis",1
lumboischialgie m54.4 bei osteochondrose und spondylarthrose,1
isg-arthrose,1
flanken- und oberschenkelschmerzen,1
fußsohleschmerzen links,1
"polytopes, polymorphes schmerzsyndrom mit anteilen einer fibromyalgie",1
sowie hws nach einer prellung am 07.11.2017,1
"rheumatoide arthritis, ed 07/2017",1
myofaszialesschmerzsyndrom,1
"seropositive chronische polyarthritis, ed 2020",1
erythema nodosum,1
spondylosis deformans,1
kopftremor,1
"durch lumbalpunktion, em 06/2020 b02.2,",1
z.n. lungenembolie bds. 4/2022.,1
sensomotorische polyneuropathie,1
neurodermatitis,1
"seropositive late-onset rheumatoide arthritis, ed 8/2018",1
diabetes mellitus typ 1 ab ca. 1988,1
"rheumatoide, seropositive arthritis, ed 1997",1
beginnende rheumatoide arthritis,1
karpaltunnel-syndrom rechts,1
"seropositive und ccp-ak positive rheumatoide arthritis, ed 09/2014",1
"thrombozytose, ed 2013",1
"eisenmangelanämie, ed 2008",1
"chronisches fatique-syndrom, externer v.a. chronische ebv-infektion",1
myofasziales schmerzsyndrom im schulter- und nackenbereich,1
unklare muskel- und gliedeschmerzen,1
"hypothyreose, z.n. thyreoidektomie 05/2010",1
retropatellararthrose beidseits,1
dd. idiopathische gesichtsschmerzen,1
myoklonischen zuckungen unklarer genese,1
episodischer cluster-kopfschmerz,1
für 15 min. bei clusterkopfschmerzattacke.,1
nozizeptive und neuropatische schmerzen,1
leistenschmerzen links,1
chronic-fatigue-syndrom cfs/me,1
- post-covid-19-syndrom,1
frozen shoulder links,1
chronische sinusitis maxillaris,1
mittelgesichtsverletzungen 02/09/1983,1
schmerz li. bei prothetischer versorgung,1
rezidivierende cervicobrachialgien li.,1
"morbus crohn, em 7/77, ed 1979",1
chron. unterbauchschmerzen,1
granulomatöse rosazea,1
hws-schulter-arm-syndrom rechts,1
"persistierende abdominelle beschwerden, a.e. ibs",1
"diabetes mellitus, typ ii, ed 2021",1
"hashimoto thyreoiditis, ed 2021",1
chronische müdigkeitssymptomatik,1
post-covid-19-zustand,1
trigeminusneuralgie v2 und v3 rechts,1
hemicrania continua rechts,1
chronische nierenerkrankung stad g4-5 a3 bei,1
4/1999 wegen morbus basedow,1
impingement-syndrom beidseits mit supraspinatustendinose bds.,1
hws/bws/lws-syndrom,1
femoropatellararthrose bds. mit patellasubluxation bds.,1
"z.n. mamma ca li. 8/2019, mit konsek. operation und radio",1
schulterbeschwerden links,1
"lymphödem der oberen extremität, stadium ii links",1
chronisch-venöse-insuffizienz beiderseits,1
heuschnupfen,1
rizarthrose links,1
- raynaud und calcinosis cutis der finger und knie,1
limitiert kutane systemische sklerodermie,1
- raynaud und calcinosis cutis der finger und der knie,1
ekzematöse dermatitis,1
"missempfindungen, am ehesten funktionelle störung",1
rezidivierenden bronchitiden,1
cervicocranialsyndrom,1
von haemophilus influenzae 03/2023,1
"psoriasis arthritis, ed 10/2016",1
psoriasis vulgaris seit dem 18. lebensjahr,1
(sekundärer) fibromyalgie-syndrom,1
chron. schmerzen im sakrococczygealbereich rechts,1
chron. knieschmerzen rechts,1
morbus forestier,1
neuropathie des n. trigeminus (v2 und v3) link,1
pci riva mit implantation 1 des 12/2017,1
handgelenkschmerzen rechts,1
kreuzschmerz,1
post-zoster-neuralgie,1
"gesichtsschmerzen rechts, am ehesten bei trigeminusneuralgie rechts",1
psychovegetativer erschöpfungssyndrom,1
schwindel und druck am linken ohr im rahmen des morbus meniére,1
"colitis ulcerosa, ed 2019",1
palpitation,1
dauerschmerz re. fuß,1
z.n. ask re. schulter 07.06.2019,1
muskulo/ skelettale thoraxschmerzen,1
hypotensive motilitätsstörung des tubulären ösophagus und des unteren ösophagus-sphinkters (uös),1
refluxösophagitis grad a (los angeles klassifikation),1
hüfteschmerzen beidseits,1
fersenschmerzen rechts,1
"z.n. mamma ca li., op 09/08 und 10/08, anschl. chemotherapie, radiatio",1
schnellender mittelfinger rechts,1
"morbus bechterew, ed 1988",1
trigeminusneuralgie v2/v3 links,1
"ro-ak, antiphospolipid-ak, komplementumsatz, ed 1989",1
sekundäres sjögren-syndrom,1
"iga-mangel, rezidivierende bronchitiden",1
morbus addison,1
refluxösophagitis grad ia,1
ws-muskelverspannungssyndrom,1
"seropositive rheumatoide arthritis, ed 2020",1
omarthrose links,1
m. scheuermann,1
"seronegtive anti-ccp/acpa-positive rheumatoide arthritis, ed 2019",1
chronisches schmerzsyndrom im chronifizierungsstadium ii,1
sensomotorische axonal betonte polyneuropathie,1
myofasziales schmerzsyndrom der beine und füße,1
stent-versorgung 02/2019,1
z.n. sm-implantation bei sick-sinus-syndrom mit synkope (01/2019),1
"z.n. mammacarcinom rechts, z.n. wide excision re. mamma 12/2020",1
"copd (copd 2, gruppe b, mmrc 2 punkte)",1
axonale polyneuropathie der beine nach churge-strauß-vaskulitis,1
chronische schmerzen flankenschmerzen recht,1
atherosklerotische zwei-gefäß-erkrankung,1
typ-2-diabetes mellitus,1
dosierung,1
"systemischer lupus erythematodes, ed 2014",1
hypothyreose bei z.n. thyreoidektomie 1993,1
"post-herpes-neuralgie, z. n. herpes zoster 6/2023 b02.2,",1
schwindel und diskrete koordinationsstörungen,1
hws-schmerzen,1
lyme-borreliose,1
chronisches schmerzsyndrom vom fibromyalgietyp,1
chronisch degeneratives hws-syndrom,1
(zeitpunkt unbekannt),1
"morbus crohn, ed 2002",1
antibiotika assoziierte diarrhoen dd ced,1
"systemischer lupus erythematodes, nicht näher bezeichnet",1
impingement-syndrom der rechten hüfte,1
achillodynie links,1
omarthrose grad 4 rechts,1
schmerzen in den extremitäten beckenregion und oberschenkel re.,1
"reizdarmsyndrom, diarrhoe-prädominant",1
unverträglichkeit von sorbit und lactose,1
radikulopathie zervikothorakalbereich linksseitig,1
radikulopathie lumbosakralbereich linksseitig,1
schmerzen in den extremitäten beckenregion und oberschenkel,1
schulter schmerzen bds.,1
"diabetes mellitus typ ii, diätetisch eingestellt",1
abdomenschmerzen,1
steißbeinschmerzen,1
rezidivierende lumbalgien,1
rückenschmerzen,1
komplexes regionales schmerzsyndrom typ i der unteren extremität,1
komplexes regionales schmerzsyndrom typ i der oberen extremität,1
spina bifida occulta,1
idiopathische verlängerung der qt-zeit (v.a. romano-ward-syndrom),1
"kiefergelenkschmerzen bds., z.n. kiefergelenkarthroplastik 2012",1
polyneuropathie der füße,1
"khk, z.n. ptca, 2xdes in lad 2018",1
osas,1
v.a. burning-mouth-syndrom,1
heberden-knoten mit arthropathie bds.,1
belastungsdyspnoe,1
psoriasiforme dermatitis,1
"lymph- und lipödem der unteren extremitäten, stadium ii i89.0,",1
migräne mit aura (gewöhnliche migräne),1
chron. verdauungsbeschwerden,1
lipödem – syndrom der beine und arme,1
ventrikuläre extrasystolen,1
chronischen kopfschmerzen,1
"hypothyreose, z.n. totale thyreoidektomie 2/2011",1
"pots, posturales tachykardiesyndrom",1
urticaria,1
fußsohleschmerzen,1
unklare beinschmerzen bds.,1
hypothyreose – z.n. hemithyreoidektomie 1995,1
"fibromyalgie, ed 01/2009",1
v.a. beginnende sensible polyneuropathie,1
hypothyreose unter substitution,1
"z.n. subretinaler massenblutung, netzhautinfarkt linkes auge 04/2009",1
nesselsucht seit 9/2020,1
multiple allergien,1
"syndrom polyzystischer ovarien, ed 10/2021",1
endometriose [z.n. hysterektomie 2009],1
monoklonale gammopathie [vom igga-lamda],1
allergische asthma bronchiale,1
v.a. primäres parkinson-syndrom mit deutlichen non,1
osteochondrose und spondylose der hws mit spinaler enge hwk5/6.,1
z.n. vzv-infektion schulter rechts 2016,1
neuropatische beschwerden,1
neuralgie,1
"lip-lymphödem der unteren extremität, stadium ii (typ reithosen)",1
obstruktives schlafapnoesyndrom (cpap maske seit 2018),1
migräne mit und ohne aura,1
sensible betonte polyneuropathie mit small-fibre beteiligung,1
koronare 3-gefäßerkrankung,1
pavk stadium i-ii,1
v.a. polyneuropathie bei bekanntem vitamin b12 mangel,1
mittelohrtubenbelüftungstörung bds.,1
spinal(kanal)stenose zervikalbereich,1
"spondylolisthesis lumbalbereich l3-l5, z.n. fixateur interne 2005",1
bws-syndrom mit myogelosen,1
intrinsisches asthma bronchiale,1
sonstige hypothyreose,1
zervikothorakales schmerzsyndrom mit muskulären verspannungen,1
v.a. atypisches parkinson-syndrom,1
chronische lws-beschwerden bei facetengelenksarthrose,1
axiale sacroileitis,1
"klarzelliges nierenkarzinom rechts, ed 10/2021",1
"erschöpfung, antriebslosigkeit",1
chronische schmerzen im linken unterbauch,1
divertikelkrankheit,1
"helicobacter pylori positive gastritis k29.7,",1
v.a. chronische glomerulonephritis/dd amyloidose/,1
"großen, unselektive glomerulärer proteinurie",1
mit hypalbuminämie,1
"mgus-igg-kappa, ed 02/2021",1
z.n. bursitis trochanterica re. hüfte,1
"asthma bronchiale, ed 2017",1
prämenstruelles syndrom,1
z.n. enzephalitis ohne erregernachweis 07/2018,1
"pst (ec, paclitaxel/carboplatin), bet u. slne re. 09/2020",1
symptomatische fokale strukturelle epilepsie,1
cerebrale mikroangiopathie,1
psoriasis vulgaris mit exudativer komponente,1
"axiale spondylarthritis mit peripherer beteiligung, em anfang 1994/95",1
v.a. benignes myalgie-faszikulationssyndrom,1
postlaminektomie-syndrom,1
"skoliose und spondylarthrose lwk5/swk s1 m47.9,",1
hashimoto-thyreoiditis mit hypothyreose,1
"chronische polyarthritis, acpa positive",1
periarthropathia humeroscapularis bds.,1
einzelne symptomatische atriale und ventrikuläre extrasystolen,1
des langsamen av-knoten leitungswegs am 15.06.2022.,1
fußekzem,1
hypothyreose bei z.n. teilthyreoidektomie,1
"rheumatoide arthritis, rf und acpa positiv, ed 1990",1
doppelbogige thorakolumbalskoliose,1
erschöpfung durch übermäßige anstrengung,1
"asthma bronchiale, cough variant, stressbedingtes asthma",1
"diffuse myofasziale beschwerden, muskuläre dysbalancen",1
hypomobilität der bws und hws,1
"kreuzschmerz, isg-syndrom",1
chron. neuropathischer schmerz im ausbreitungsgebiet des n. rad. superf. links,1
epicondylitis radialis humeri rechts,1
z.n. punktuellem kortikalen infarkten rechtshirnig 6/2020,1
chronische migräne mit und ohne aura,1
allergisches asthma,1
mit rezidivierenden synkopen,1
beginnende venöse insuffizienz,1
multilokuläres myofasziales schmerzsyndrom,1
"chronische nierenkrankheit, stadium iii",1
divertikulose,1
chronische cervicobrachialgie und –cephalgie,1
chronisch rezidivierende lumboischialgie,1
mit konsekutiver operation und radio-chemotherapie,1
bws-syndrom bei skoliose,1
lumboischialgie rechts bei osteochondrose,1
zervikobrachialgie bds. rechtsbetont bei osteochondrose,1
"palpitationen, z. n. supraventrikulärer tachykardie",1
obstruktive schlafapnoesyndrom,1
rheumatoide arthritis in prodromalphase (ed 2021) (anti-ccp pos.),1
zerebrale mikroangiopathie mit beteiligung des hirnstamms,1
störung von gang und mobilität mit erhöhter sturzneigung,1
"v.a. essentieller tremor, ed 05/2024",1
ptca/stenting 1x des mediale lad 19.01.2023,1
arterielle hypetonie,1
strumpfförmige hypästhesie und parästhesien,1
sensible ataxie,1
polytope schmerzen,1
hyperhidrosis,1
mundtrockenheit,1
synovitis und tendosynovitis bds.,1
tinnitus links,1
neuropathischem schmerzsyndrom der füße bds.,1
muskelschmerzen der oberen extremitäten,1
rezidivierenden pyelonephritiden 12/2011.,1
myofasziales schmerzsyndrom im schulter-nackenbereich,1
schmerzen im linken arm,1
hypothyreose bei,1
leichtgradiges obstruktives schlafapnoesyndrom,1
chronisch inflammatorisch demyelinisierende polyneuropathie (cidp),1
"(geruchverlust, gedächtnisstörungen)",1
primärer hyperaldosteronismus,1
sonstige abnorme hörempfindungen,1
lymphödem,1
"z.n. mamma ca li. 2020, mit konsek. operation und radio-chemotherapie",1
achillessehnenschmerzen,1
fußschmerzen,1
hypothyreose bei z.n. schilddrüsenresektion 1996,1
chron. atypische gesichtsschmerzen rechtsseitig,1
"bws/lws-syndrom bei alten, osteoporotischen lwk 1,3 und 4 frakturen m54.85,",1
wechseljahresbeschwerden,1
"gonarthrose bds., rechts mehr als links",1
"steatosis hepatis, ed 10/2014",1
chronisches degeneratives hws-syndrom,1
"morbus crohn, ed 2017",1
extremitäten links > rechts,1
bei bsv l4/5 links mit wurzelkompression l5,1
small-fiber-neuropathie,1
"dorsalgien der hws-, bws und lws",1
chronische migräne mit aura,1
rezidivierendes hws-syndrom mit zervikobrachialgien,1
z.n. enzephalitis unklarer genese 07/2022,1
"obstruktive schlafapnoe syndrom, cpap-therapie",1
mykoplamen 01/2022,1
"neuralgie und neuritis, nicht näher bezeichnete lokalisation",1
mononeuritis multiplex,1
unwohlsein und ermüdung,1
"unter- und oberschenkelschmerzen re. m79.65,",1
z.n. borreliose 8/2017,1
"(doxetacetal, cyclophosphamid)",1
z.n. resektion eines invasiv lobulären mamma-ca rechts 06/2013,1
"koronare 1-gefäß-erkrankung, z.n. des-pci des riva 07/2012",1
trigeminusneuralgie v3 rechts,1
autoimmunpankreatitis,1
lws-/isg-beschwerden,1
"medialdeviation d2-4 bds., rechts mit bildung einer krallenzehe d2",1
z. n. bandscheibenvorfall-op l4/l5 2011,1
"pruritis vulvae, rez. hautrötung",1
"symmetrische polyarthritis, ed 2015",1
chronische niereninsuffizienz stadium iii,1
"z.n. mamma-ca links, ed 03/2022",1
"sensibilitätsstörungen, missempfindungen der haut",1
chronische pansinusitis mit anosmie,1
"polyposis nasi, z. n. zweimaliger polypektomie (1996/2003)",1
chron. pakreatitis,1
"khk, z.n. stentimplantation im 03/2022",1
"polyneuropathie, em 2018",1
fußbeschwerden bds.,1
nackenschmerzen,1
rückenschmerzen sakral- und sakrokokzygealbereich,1
mehrfache nahrungsmittelunverträglichkeiten,1
chronische lumbalgie bei z. n. bandscheiben-op l4/l5,1
hochgradig eingeschränkter lv-pumpfunktion (ef 25-30%) 11/2019,1
"inlexa 3 hf-t qp, (biotronik) 12/2019",1
retsless-legs syndrom,1
chron. sakroischialgie,1
chron. schmerz im bereich des trochant. major re.,1
chron. schulterschmerzen re.,1
chronisches schmerzsyndrom im bereich der vulva und leiste rechts bei,1
myofsziales schmerzsyndrom,1
uncharakteristische muskelschmerzen,1
"periphere spondylarthritis, hla b27 negativ",1
spannungs-cephalgien,1
z.n. op eines tarsaltunnelsyndroms links am 24.06.2022 mit persistierenden hyposensibilität.,1
"lipödem typ ii, stadium i",1
bei carcinom (april 2015),1
sonstige intestinale malabsorption,1
anfallsweise auftretender schmerz unter dem linken rippenbogen,1
rückenschmerzen mehrere lokalisationen der wirbelsäule,1
trigeminusneuropathie v1 bis v3 links,1
dd anhaltende idiopatischer gesichtsschmerz,1
rezidivierende lumboischialgien li.,1
chronische zervikobrachialgie links,1
omalgie beiderseits,1
impingement syndrom der schulter re.,1
achillodynie,1
beinschmerzen links,1
rezidivierende herpeskeratis links,1
"glaukom, sekundär links",1
lumboischialgien,1
rechts,1
des rechten beins > rechten arms,1
prurigo simplex,1
thoraxwandsyndrom links nach rippenfraktur,1
"psoriasis arthritis, ed 10/2014",1
psoriasis der haut seit mehreren jahren,1
bekannter endometriose und verwachsungsbauch,1
intraspinaler kompression würzel l5 re u.bedräng l4 re,1
gonalgie re > li,1
sensomotorische axonale polyneuropathie mit sensibler ataxie,1
schulterschmerzen,1
handgelenk schmerzen links,1
hereditäre hämochromatose,1
pemphigus vulgaris,1
lichen ruber planus oralis,1
hypothyreose nach strumektomie,1
polymyalgia rheumatika,1
epikondylitis humeri radialis bds.,1
"seronegative rheumatoide arthritis, ed 2016",1
"colitis ulcerosa, ed",1
"rheumatoide arthritis, rf und acpa positiv, ed 4/2017",1
schmerzen in den armen und beinen,1
hypothyreose bei z. n. thyreoidektomie (2009),1
chronische epicondylitis humeri radialis bds.,1
chronische epicondylitis humeri ulnaris bds.,1
"gonarthrose, beidseitig",1
beinschmerzen unklarer ursache,1
multifaktorielle gangstörung,1
vorhofflimmern,1
trigeminusneuralgie des 2. astes links,1
varusgonarthrose links,1
z.n. knie tep links 03/2022,1
endometriose mit multiplen operativen eingriffen,1
"lipödem beider beine, stadium ii",1
chronische spontane urticaria mit angioödem (gesicht),1
psoriasis,1
chronische (komplizierte) migräne,1
refluxösophagitis la grad b,1
z.n. polytraumas am 30.05.2019,1
chronische ein- und durchschlafstörungen,1
chronischer tinnitus aurium,1
hws-syndrom mit z.n. commotio cerebri 2/2020,1
erythromelalgie füße,1
"rheumatoide arthritis, ed 2019",1
linkskonvex lumbal 65°,1
chronische-obstruktive bronchitis,1
neuropathie mit neigung zu druckparesen,1
vorbekannter linksschenkelblock,1
myalgien,1
ganzkörperschmerzen und missempfindungen mit,1
"sonstige overlap-syndrome (r-arthritis, sjögren-s-. arthritis psoriatica)",1
schulter-nacken-syndrom,1
lipödem- syndrom bds.,1
muskelschwäche,1
allergische rhinokonjunktivitis,1
z.n. hüft-tep links 04.12.2019,1
gelenk- und gliedeschmerzen.,1
sicca-syndrom mit rez. keratokonjunktivitis sicca,1
oberbauchschmerzen,1
unklarer ätiologie,1
"schmerzen in den extremitäten, knöcheln und füßen",1
chronische schmerzkrankheit,1
bei neuropathie der akren,1
bei multipler sklerose mit schubförmig inkomplett reversiblem verlauf,1
und chronischem müdigkeitssyndrom,1
biliäre zirrhose,1
"colitis ulcerosa, ed 4/2021",1
bioptisch gesichert 03/2019,1
chronisches hws-lws-syndrom,1
facettensyndrom links lwk 3/4 und lwk 5,1
damensattelgelenksarthrose bds.,1
"erosive, ccp-ak positive rheumatoide arthritis, em 10/2016, ed 12/2016",1
z.n. fünfmaliger lws-op mit zuletzt laminektomie 1985 und,1
in kombination mit klinisch fassbarer rechtskonvexer-skoliose und,1
z.n. deckplattenimpfessionsfraktur lwk1 1/2023,1
rippenschmerzen bei z.n. rippenfraktur rechts t4 bis 7 mit ausgeprägt.,1
omarthrose,1
hypothyreose bei z.n. schilddrüsen-op 1978,1
sturzneigung,1
spannungskopfscherzen,1
"rheumatoide arthritis, rf und acpa positiv, ed 12/2016",1
reizdarm-syndrom,1
chronische bauchschmerzen,1
post-zoster-neuralgie nach g53.0 +,1
"seropositive rheumatoide arthritis, ed 02/2003",1
koronare 3-gefäßerkrankungen,1
"asthma bronchiale, gemischtförmig",1
"osteoprose, ed 2003",1
systemische sklerose,1
sklerodaktylie,1
hypotonie,1
z. n. bösartige neubildung: brustdrüse links,1
rez. cervicocephalobrachialgien,1
rez. gonalgien links,1
hüftbeschwerden rechtsbetont bei dysplasiecoxarthrose,1
chron. zervikobrachialgien,1
"sinusrhythmus, noak mit xarelto",1
chronische schmerzen in der blase und massiver harndrang,1
"z.n. mamma-ca., op 09/2017",1
seropositive rheumatische polyarthritis,1
cppd-arthritis (pseudogicht) mit chondrocalcinose. ed 12/2020,1
bisher diagnostiziertes pathologisch-anatomisches korrelat,1
degeneratives hws-lws-syndrom,1
mediale und retropatellare gonarthrose bds,1
hüftenschmerzen rechts,1
trigeminus neuralgie rechts,1
"post-herpes-neuralgie, z. n. herpes zoster l2/3 rechts9/2020 b02.2,",1
degenerativen veränderungen und spinalkanalstenose l3 l5,1
achillodynie rechts,1
allergisch-eosinophiles asthma bronchiale,1
dyshidrotisches handekzem bei v.a. atopie,1
ß-thalassämie,1
beta thalassämie,1
sekundärer spinalkanalstenose lwk4/5,1
diagnostiziertes pathologisch-anatomischer korrelat,1
degen. hws-lws-syndrom,1
zervikobrachialgie links,1
sprunggelenkschmerzen links,1
knieschmerzen li,1
chronische migräne ohne aura,1
"obstruktives schlafapnoe-syndrom, ed 9/2022",1
hahimoto thyreoiditis,1
hyperhomocysteinämie,1
"wirbelgelenksarthrosen, besonders l 4/5",1
hypogammaglobulinämie für igg mit igg-subklassenmangel,1
posttraumatische schmerzen im sacrococczygealbereich,1
"trigeminusneuralgie v2, v3 links",1
glaukom,1
"v.a. tendinitis tibialis posterior, beidseitig",1
"senk-spreizfuß, beidseitig",1
v.a. cranio-mandibuläre dysfunktion,1
"lupus erythematodes (systemisch), ed 2002",1
mit nachfolgender facialisparese li.,1
"systemische sklerose, ed 6/2021",1
zervikale dystonie,1
überaktive harnblase,1
colitis ulcerosa seit 40 jahren,1
thalamus-syndrom bei,1
z. n. mediainfarkt rechts 10/2012 bei angeborenem herz-klappenfehler,1
"gonarthrose rechts, knie-tep linksseitig 2016",1
z.n. ptca mit stentimplantation 2016,1
hws,1
dorsalgien im lws-bereich bei skoliose,1
bronchiale hyperreagibilität mit reizhusten,1
sodbrennen,1
knieschmerzen link,1
psoriasisformes ekzem,1
des bindegewebes,1
„knochenschmerzen“,1
z.n. apoplex 2010 ohne signifikante ausfälle,1
"copd gold i, z.n. nikotinkonsum (ca. 25 py)",1
epikondilitis humeri radialis bds.,1
"rheumatoide arthritis, ed 2008",1
"hashimoto-thyreoiditis, ed 2009",1
trigeminus neuralgie,1
wegener-granulomatose (ed 1996) mit glomerulonephritis,1
chronische polyarthritis bei m. wegener,1
gonarthrose rechts,1
small fibre polyneuropathie,1
sekundäres restless-legs-syndrom,1
"undifferenzierte kollagenose, ana positiv, ena negativ",1
polytope muskuloskeletale und weichteilschmerzen,1
neurogene schmerzen der unteren extremitäten nach myelopathie,1
arthrofibrose re. kniegelenk bei z.n. tep mit folge ops,1
"multilokuläre schmerzen (unter. rücken, hände, schultern) bei überlastung",1
"z.n. mamma ca li. 6/2019, mit konsek. operation und radio-chemother.",1
wechseljahrsbeschwerden,1
belastungsinkontinenz,1
bullöses pemphigoid,1
hypertropher lichen ruber an unterschenkel bds.,1
ösophaguskarzinom 2010,1
"copd gold 2, gruppe b",1
zervikocephales,1
"morbus meniére rechts, ed 06/2021",1
mittel- bis hochgradige schallempfindungsschwerhörigkeit links,1
persistierender postural-perzeptiver schwindel,1
superfizielle u. tiefe perivaskuläre lymphozytäre dermatitis,1
migraine mit aura,1
z.n. hemilaminektomie l5/s1 re 1/2000,1
z.n. cage c5/c6 und c6/c7 1/2011,1
gesicherte lockerung tibiaplateau,1
polneuropathie,1
intervention 06/2020 mit implantation von 2 des.,1
kardiomyopathie unklarer ursache mit ef 35-45 %,1
"koronare dreigefäßerkrankung mit mittelgradigen stenosen, hku 5/2022",1
"aa bei vorhofflimmern, ed 4/14",1
"fazialer hemispasmus links, em 2017",1
zervikobrachialgien bds.,1
axonale sensomotorische polyneuropathie,1
lumbalsyndrom bei spinalkanalstenose auf höhe lwk 3/4 und 4/5,1
polyneuropathie der beine bds. mit fußhebeparese rechts,1
schmerzen in beiden händen,1
zervikozephalessyndrom mit funktionseinschränkung der hws bei,1
- npp c5/6 mit foramenstenose c6 rechts,1
impingement-syndrom der rechten schulter bei,1
v.a. acg-arthrose rechts,1
genito-femoralis und des n. ilioinquinalis liknks.,1
knie schmerzen bds. bei z.n. mehrfachen knie-ask bds.,1
v.a. psoriasis arthritis,1
diastolischer dysfunktion,1
koronarsklerose ohne signifikante stenosen,1
chronische-degeneratives ws-syndrom,1
- schwergradiger armbetonter spastischer hemiparese links,1
- homonymer hemianopsie und rest-neglect nach links,1
- dysarthrie,1
carotis-artriosklerose ohne hämodynamische störung,1
"diabetes mellitus, typ 2 mit nierenkomplikationen",1
vitamin d3-mangel,1
vitamin b12-mangel,1
daumensattelgelenksschmerzen links,1
z. n. osteolyse-ops im bereich unter- und oberkiefer,1
knieschmerzen rechtsbetont,1
schnellender mittel- und zeigefinger rechts,1
lactoseunverträglichkeit,1
"seropositive chronische polyarthritis, ed 1996",1
z.n. mehrfacher lungenembolie 2013 bis 2020,1
"protein s-mangel, ed 06/2014",1
orale antikoagulation mit edoxaban,1
"hörsturz rechts, em 06/2023",1
"tinnitus aurium rechts, em 06/2023",1
"persistierendes vorhofflimmern, antikoagulation mit edoxaban",1
eingefäß-khk,1
hws-lws-syndrom,1
z.n. schwindelbedingten sturzes im rahmen eines neuen,1
z.n. sturz vom baum am 04.03.2025 mit,1
"multiple sklerose, ed 2000",1
rektusdiastase,1
"morbus meniére rechts, ed 8/2023",1
gicht,1
multilokuläre muskelschmerzen,1
"degeneratives hws-syndrom, bsp hwk 5/6 (06/2021)",1
impingement-syndrom der linken schulter 06/2021,1
bursitis im schulterbereich links,1
gangunsicherheit,1
myalgie an mehreren lokalisationen v.a. schulter rechts und lws,1
chron. rückenschmerz ohne ischialgie,1
osteochondrose der wirbelsäule zervikalbereich zwischen c3/c4 bis c6/7,1
lws-syndrom bei protrusionen in l4/5 und l5/ s1,1
v.a. rheumatoide arthritis,1
omalgien links,1
grundzehengelenk schmerzen rechts,1
"polyneuropathie, ed 2017",1
fußschmerzen beidseits,1
"neuropatische beschwerden der füße, a.e. bei morton-metatarsalgie bds.",1
tremor re. hand,1
"morbus parkinson, ed 09/2020, stadium nach hoehn & yahr 1,0",1
feinmotorikstörung links,1
hyposmie,1
rem-schlafstörung,1
zerebrale mikroangiopathie,1
belastungsabhängige schmerzen beide knie bei,1
restless legs-syndrom,1
chronische unterbachschmerzen,1
zervikocephalessyndrom,1
"primär progrediente multiple sklerose (em ca. 2022, ed 01/2024)",1
bein und sensibel betonte polyneuropathie,1
gelenkschmerzen füße,1
fibromylgie,1
spondylitis hyperostotica (forestier-ott) zervikothorakalbereich,1
hashimoto thyreoiditits,1
kopf- und gesichtsschmerzen,1
supraspinatustendinose mit bursaseitiger partialruptur links,1
akromioklavikulargelenkarthrose,1
schmerzen mi hitzegefühl beider hände,1
"polyneuropathie, em 03/2020, ed 06/2020",1
"chronische multifokale osteomyelitis mit mehrere lokalisationen, em 04/18",1
ganzkörperschmerzen rechts,1
essentiellen tremor,1
"ulnare epikondylopathie bds., rechts mehr als links",1
gonarthrose 4. grades bei z. n. meniskus-op 2004,1
