canonical,cluster_hint,doc_count,examples,example_docs
Ausstrahlung,,290,Ausstrahlung | ausstrahlend | strahlt in | strahlt nach,Patient_006.docx | Patient_045.docx | Patient_132.docx | Patient_565.docx
Kopf,HWS-Syndrom,29,ausstrahlenden Schmerzen in den Hinterkopf | ausstrahlend in den Hinterkopf | Ausstrahlung in den Hinterkopf | Ausstrahlung in Nacken | Ausstrahlung in den Kopf,Patient_029.docx | Patient_045.docx | Patient_1334.docx | Patient_1354.docx | Patient_1364.docx
Bein,LWS-Syndrom,27,Ausstrahlung in beide Hüftregionen sowie Oberschenkel | Ausstrahlung in die rechten Oberschenkel | ausstrahlende Schmerzen im seitlichen Oberschenkel | Ausstrahlung in den rechten Oberschenkel | Ausstrahlung nach unter in die Oberschenkel,Patient_037.docx | Patient_1033.docx | Patient_1209.docx | Patient_1250.docx | Patient_1269.docx
Arm,HWS-Syndrom,24,"Ausstrahlung in dem Arm | Ausstrahlung in den Hinterkopf und linken Arm | Ausstrahlung in den Kopf und in linken Arm | Ausstrahlung links in die Finger | Ausstrahlung, teils in den linken Arm",Patient_1134.docx | Patient_1334.docx | Patient_1364.docx | Patient_1475.docx | Patient_155.docx
Gesäß,LWS-Syndrom,13,Ausstrahlung ins rechte Gesäß | Ausstrahlung über das Gesäß | Ausstrahlung ins Gesäß | Ausstrahlung über das rechte Gesäß | Ausstrahlung über das linke Gesäß,Patient_122.docx | Patient_1441.docx | Patient_1909.docx | Patient_2049.docx | Patient_2053.docx
