term,document_count,percent
ergänzende,215,36.3
aufnahmebefund ergänzende,213,36.0
berentet,213,36.0
arbeitsfähigkeit berentet,213,36.0
antrieb,213,36.0
ergänzende körperlicher,210,35.5
belastbarkeitsgrenze schneller,209,35.3
untersuchungsbefund jährige,209,35.3
hypertonie,208,35.1
geburten,207,35.0
depressive,207,35.0
hinaus,206,34.8
stuhl,204,34.5
hinsichtlich,204,34.5
somatische chronisches,201,34.0
untersuchungsbefund jähriger,201,34.0
rezidivierende,201,34.0
vorher,200,33.8
schneller vorher,200,33.8
vorher erreicht,200,33.8
ausgeprägte,199,33.6
bestehen,199,33.6
somatisch aufnahmegespräch,198,33.4
arterielle,197,33.3
arterielle hypertonie,197,33.3
stationären,196,33.1
schwankend,196,33.1
konstant stuhlgang,196,33.1
empfunden,190,32.1
normal durst,190,32.1
gestört,188,31.8
jahren kardiovaskuläre,187,31.6
gefühl,187,31.6
nacken,185,31.2
rechten,184,31.1
störung,184,31.1
ausgeglichen,183,30.9
ausstrahlung,182,30.7
linderung,182,30.7
schwitzen vermehrt,180,30.4
temperaturtoleranz ausgeglichen,179,30.2
körperlicher aufnahmebefund,177,29.9
unruhe,175,29.6
depressive störung,175,29.6
würden,174,29.4
berichte,173,29.2
chronische,173,29.2
ausführliche,170,28.7
leidet,169,28.5
hause,168,28.4
vermehrt nachtschweiß,168,28.4
beschreibt,168,28.4
verweisen,166,28.0
verweisen entsprechenden,166,28.0
entsprechenden,166,28.0
dürfen,165,27.9
voraussetzen verweisen,165,27.9
dürfen freundlicherweise,165,27.9
voraussetzen,165,27.9
entsprechenden berichte,165,27.9
ausgeglichen energieniveau,165,27.9
freundlicherweise voraussetzen,165,27.9
freundlicherweise,165,27.9
ausführliche dürfen,165,27.9
treten,164,27.7
stuhl täglich,163,27.5
rezidivierende depressive,163,27.5
befand,163,27.5
linken,163,27.5
belastung,163,27.5
eingeschränkt,160,27.0
reizlose,160,27.0
unserer,160,27.0
neurologisches,159,26.9
innere,159,26.9
fokal neurologisches,159,26.9
neurologisches defizit,159,26.9
unserer stationären,158,26.7
schmerzen bereich,158,26.7
konzentrations,158,26.7
stark,157,26.5
appendektomie,157,26.5
somatischer,157,26.5
somatischer beschwerden,156,26.4
durchschlafstörungen gestört,156,26.4
stimmung schwankend,156,26.4
hause befand,156,26.4
somatisch hause,154,26.0
konstant stuhl,154,26.0
innere unruhe,153,25.8
narbe,153,25.8
stationären ausführliche,153,25.8
energieniveau körperlicher,152,25.7
letzten unserer,150,25.3
befand letzten,149,25.2
vorhanden,148,25.0
menopause jahren,148,25.0
reizlose narbe,148,25.0
gynäkologische zwei,147,24.8
hände,146,24.7
merkfähigkeitsstörungen,145,24.5
chronischen beschwerden,145,24.5
verbessert,144,24.3
verneint nikotinkonsum,144,24.3
gelegentlich vater,144,24.3
verschlechterung,143,24.2
zwei geburten,143,24.2
niveau,143,24.2
erträgliches,142,24.0
erträgliches niveau,142,24.0
kälteempfindlich energieniveau,142,24.0
kopfschmerzen,142,24.0
stuhlgang täglich,140,23.6
reduziert,140,23.6
stress,140,23.6
drei,140,23.6
geworden,139,23.5
gedrückt,139,23.5
beschwerden erträgliches,139,23.5
füße,138,23.3
schwäche,137,23.1
erhoffe chronischen,137,23.1
meistens,137,23.1
beziehungen,136,23.0
niveau verbessert,136,23.0
weiteren,136,23.0
ibuprofen,134,22.6
zudem leide,133,22.5
eher,133,22.5
miktion normal,133,22.5
schlaf durchschlafstörungen,132,22.3
konzentrations merkfähigkeitsstörungen,131,22.1
sowohl,131,22.1
kalte,131,22.1
zusätzlich,130,22.0
manuelle,129,21.8
besteht,129,21.8
wenig,129,21.8
erschöpft fühle,129,21.8
fühle belastbarkeitsgrenze,129,21.8
ziehend,128,21.6
durstgefühl,128,21.6
müdigkeitssymptomatik,128,21.6
rahmen,128,21.6
arbeitsfähigkeit körperlicher,128,21.6
aufnahmebefund jährige,127,21.5
covid,125,21.1
neurolog,125,21.1
intensität,125,21.1
zurückhaltend,124,20.9
mehrere,124,20.9
geburten menopause,123,20.8
normal schwitzen,123,20.8
stechend,123,20.8
nacken schulter,122,20.6
vergrößert reizlose,122,20.6
blutstau,122,20.6
arbeitsfähigkeit aufnahmebefund,122,20.6
neurolog defizit,121,20.4
fokal neurolog,121,20.4
geburt,121,20.4
fühle häufig,121,20.4
blähungen,121,20.4
leistungsfähigkeit antrieb,120,20.3
beidseits,120,20.3
beziehungen zurückhaltend,119,20.1
knie,119,20.1
faktoren,119,20.1
zurückhaltend geworden,118,19.9
orient neurolog,118,19.9
orient,118,19.9
lokale,117,19.8
neurolog augen,117,19.8
auftreten,117,19.8
carotiden,117,19.8
carotiden fußpulse,116,19.6
strömungsgeräusch carotiden,116,19.6
zeit,116,19.6
außerdem,115,19.4
antrieb seien,115,19.4
manchmal,115,19.4
hinsichtlich somatischer,115,19.4
nieren,114,19.3
ziehenden,114,19.3
kälte,113,19.1
stehen,112,18.9
intermittierende,112,18.9
belag,112,18.9
handelt,111,18.8
narbe appendektomie,110,18.6
charakter,110,18.6
erreicht leistungsfähigkeit,110,18.6
